start_date,end_date,category,start,stop,miles,purpose,route,month,duration,week name,month number,hours,time of day
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,Fort Pierce ➝ Fort Pierce,January,0 days 23:54:00,Friday,1,21,Night
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,,Fort Pierce ➝ Fort Pierce,January,0 days 23:48:00,Saturday,1,1,Night
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,Fort Pierce ➝ Fort Pierce,January,0 days 23:47:00,Saturday,1,20,Evening
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,Fort Pierce ➝ Fort Pierce,January,0 days 23:46:00,Tuesday,1,17,Evening
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,Fort Pierce ➝ West Palm Beach,January,0 days 22:53:00,Wednesday,1,14,Afternoon
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,West Palm Beach ➝ West Palm Beach,January,0 days 23:56:00,Wednesday,1,17,Evening
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,West Palm Beach ➝ Palm Beach,January,0 days 23:55:00,Wednesday,1,17,Evening
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,Cary ➝ Cary,January,0 days 23:54:00,Thursday,1,13,Afternoon
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,Cary ➝ Morrisville,January,0 days 23:40:00,Sunday,1,8,Morning
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,Jamaica ➝ New York,January,0 days 23:33:00,Sunday,1,12,Afternoon
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,New York ➝ Queens,January,0 days 23:17:00,Sunday,1,15,Afternoon
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,Elmhurst ➝ New York,January,0 days 23:25:00,Sunday,1,18,Evening
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,Midtown ➝ East Harlem,January,0 days 23:40:00,Sunday,1,19,Evening
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,East Harlem ➝ NoMad,January,0 days 23:34:00,Monday,1,8,Morning
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,Flatiron District ➝ Midtown,January,0 days 23:53:00,Monday,1,11,Morning
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,Midtown ➝ Midtown East,January,0 days 23:46:00,Monday,1,13,Afternoon
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,Midtown East ➝ Midtown,January,0 days 23:47:00,Monday,1,14,Afternoon
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,Midtown ➝ Hudson Square,January,0 days 23:44:00,Tuesday,1,12,Afternoon
